,filename,years,title
87,319.txt,1986,Georgia O&apos Keeffe Dead at 98; Shaper of Modern Art in U.S.
88,324.txt,1968,"Robert Francis Kennedy: Attorney General, Senator and Heir of the New Frontier"
89,325.txt,1969,"Coleman Hawkins, Tenor Saxophonist, Is Dead"
90,327.txt,1990,"Erte, a Master of Fashion, Stage and Art Deco Design, Is Dead at 97"
91,330.txt,2000,"Charles M. Schulz, &aposPeanuts&apos Creator, Dies at 77"
92,331.txt,1952,Chaim Weizmann Of Israel Is Dead
93,335.txt,1957,"Gerard Swope, 84, Ex-G.E. Head, Dies"
94,337.txt,1982,"Anna Freud, Psychoanalyst, Dies in London at 86"
95,339.txt,1966,"Walt Disney, 65, Dies on Coast; Founded an Empire on a Mouse"
96,344.txt,1931,Dr. Melvil Dewey Dead In Florida
97,346.txt,1998,Frank Sinatra Dies at 82; Matchless Stylist of Pop
98,347.txt,1993,"Carlos Montoya, 89, Flamenco Guitarist, Is Dead"
99,350.txt,1978,Margaret Mead Is Dead of Cancer at 76
100,353.txt,1982,Brezhnev Attempted to Advance Soviet Goals Through Detente; Soviet Leader Used Consensus in Politburo on Domestic Issues
101,354.txt,1965,"Branch Rickey, 83, Dies in Missouri"
102,356.txt,1991,"Dame Peggy Ashcroft, Acclaimed British Actress, Is Dead at 83;"
103,360.txt,1976,Mao Tse-Tung: Father of Chinese Revolution
104,361.txt,1992,"Marlene Dietrich, 90, Symbol of Glamour, Dies"
105,364.txt,1944,Alfred E. Smith Dies Here at 70; 4 Times Governor
106,365.txt,1954,"Art World Mourns Henri Matisse, Dead at Home in Nice at Age of 84"
