,filename,years,title
83,84.txt,1973,"Picasso: Protean and Prodigious, the Greatest Single Force in 70 Years of Art"
84,85.txt,1975,The Life of Chiang Kai-shek: A Leader Who Was Thrust Aside by Revolution
85,86.txt,1923,Harding a Farm Boy Who Rose by Work
86,87.txt,1945,Patton's Career A Brilliant One
87,88.txt,1999,Death of a King; Cautious King Took Risks In Straddling Two Worlds
88,89.txt,1984,"Assassination in India: A Leader of Will and Force; Indira Gandhi, Born to Politics, Left Her Own Imprint on India"
89,90.txt,1968,"Robert Francis Kennedy: Attorney General, Senator and Heir of the New Frontier"
90,91.txt,1970,De Gaulle Rallied France in War and Strove to Lead Her to Greatness
91,92.txt,1919,Carnegie Started as a Bobbin Boy
92,93.txt,2000,"Charles M. Schulz, 'Peanuts' Creator, Dies at 77"
93,94.txt,1965,Churchill Dies at 90 At Home in London
94,95.txt,1977,"Maria Callas, 53, Is Dead of Heart Attack in Paris"
95,96.txt,1975,"Out of the Crucible of Civil War, Franco's Iron Hand Forged a Modern Spain"
96,97.txt,1994,"Thomas P. O'Neill Jr., a Democratic Power in the House for Decades, Dies at 81"
97,98.txt,1947,La Guardia Is Dead; City Pays Homage To 3-Time Mayor
98,99.txt,1998,Frank Sinatra Dies at 82; Matchless Stylist of Pop
99,100.txt,1976,J. Paul Getty Dead at 83; Amassed Billions From Oil
100,101.txt,1981,"Robert Moses, Master Builder, is Dead at 92"
101,102.txt,1982,Brezhnev Attempted to Advance Soviet Goals Through Detente; Soviet Leader Used Consensus in Politburo on Domestic Issues
102,103.txt,1953,Stalin Rose From Czarist Oppression to Transform Russia Into Mighty Socialist State
103,104.txt,1981,"Anwar el-Sadat, the Daring Arab Pioneer of Peace with Israel"
104,105.txt,1976,Mao Tse-Tung: Father of Chinese Revolution
105,106.txt,1875,Andrew Johnson Dead
106,107.txt,1944,Alfred E. Smith Dies Here at 70; 4 Times Governor
